comment_id,username,nickname,comment,create_time,avatar,total_reply,replies,aweme_id
7418430287463695110,inyourdream771,perdanawildanzz,imi rambut bulan bulan awal 2023 kalp gasalah,1727237913,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/8791777cec582bceed192638f5ceee61~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=a1184a79&x-expires=1755838800&x-signature=rUNmo2uLq8u0PE3YYI6Md5sNMTI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,1,"[{'comment_id': '7431442022466650885', 'username': 'fall.for.yo', 'nickname': 'fall for yo', 'comment': 'benerrr, masih inget kak 😭🤝🏼', 'create_time': 1730267446, 'avatar': 'https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/6568d61520850f217b4d4aee40a79ff1~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=bcd7b31b&x-expires=1755838800&x-signature=pw37gdc8cAlcpqH1QlYsMYosvs0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my', 'total_reply': None, 'replies': []}]",7418294751977327878
7418369356578587398,starssiantihero,Bin. 🍵,anu... 💍,1727223719,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/36e3b22667a5a29d5bd386d2d93e50c0~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=d4cb2007&x-expires=1755838800&x-signature=UMBm1bli%2BLxSXUGSNfmqgLm%2Fhrc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,1,"[{'comment_id': '7431442397193716485', 'username': 'fall.for.yo', 'nickname': 'fall for yo', 'comment': 'ak mw sepuluh 😜', 'create_time': 1730267528, 'avatar': 'https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/6568d61520850f217b4d4aee40a79ff1~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=bcd7b31b&x-expires=1755838800&x-signature=pw37gdc8cAlcpqH1QlYsMYosvs0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my', 'total_reply': None, 'replies': []}]",7418294751977327878
7418575915603985158,tvupifyp100,Dunia Hobby Upi,fyp😳😳😊😊anime,1727271821,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/34c4654edb2503848ad1430dafde1b69~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=0c08c993&x-expires=1755838800&x-signature=Ewlus0bHacz8eL62vezVcMU5ifQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,0,[],7418294751977327878
7418333516158829317,spcrkn,らくーん,Kak,1727215379,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/ed291c95f05f3759be92a979ae2188f4~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=dbb5fc87&x-expires=1755838800&x-signature=xTjkt1BSP4B5re%2B1Tb5m377owCM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,1,"[{'comment_id': '7431442219682726662', 'username': 'fall.for.yo', 'nickname': 'fall for yo', 'comment': 'kak', 'create_time': 1730267491, 'avatar': 'https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/6568d61520850f217b4d4aee40a79ff1~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=bcd7b31b&x-expires=1755838800&x-signature=pw37gdc8cAlcpqH1QlYsMYosvs0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my', 'total_reply': None, 'replies': []}]",7418294751977327878
7418342418900714245,aditya.kurniawan38,Aditya Kurniawan,apa ini?🥺,1727217451,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/7390551160590172166~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=7553fbe7&x-expires=1755838800&x-signature=HqpNGWh%2BVwjHCm%2Bw4ND%2BGJmz%2B2A%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,1,"[{'comment_id': '7431442204071953157', 'username': 'fall.for.yo', 'nickname': 'fall for yo', 'comment': 'tikus pink 😜', 'create_time': 1730267488, 'avatar': 'https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/6568d61520850f217b4d4aee40a79ff1~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=bcd7b31b&x-expires=1755838800&x-signature=pw37gdc8cAlcpqH1QlYsMYosvs0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my', 'total_reply': None, 'replies': []}]",7418294751977327878
7418297531752661766,paiiizyahoo,PaiiiZ Yahoo,p,1727207000,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/7335388471235706901~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=90040804&x-expires=1755838800&x-signature=4psOVe2JZ1XRBnhYDdNqdD47iu0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,1,"[{'comment_id': '7418300928664552197', 'username': 'fall.for.yo', 'nickname': 'fall for yo', 'comment': 'p', 'create_time': 1727207787, 'avatar': 'https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/6568d61520850f217b4d4aee40a79ff1~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=bcd7b31b&x-expires=1755838800&x-signature=pw37gdc8cAlcpqH1QlYsMYosvs0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my', 'total_reply': None, 'replies': []}]",7418294751977327878
7418957932345705221,lanaishaq,Lana Ishaq,tiba tiba yochan muncul disinii,1727360759,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/672b0f84b409e0049cb7387381de5b2a~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=2243a9d2&x-expires=1755838800&x-signature=LXUiGCrnjpInrsQGiXtQBoV92rU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,1,"[{'comment_id': '7431442289874944774', 'username': 'fall.for.yo', 'nickname': 'fall for yo', 'comment': 'hai lanaaaa 🤟🏻', 'create_time': 1730267511, 'avatar': 'https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/6568d61520850f217b4d4aee40a79ff1~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=bcd7b31b&x-expires=1755838800&x-signature=pw37gdc8cAlcpqH1QlYsMYosvs0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my', 'total_reply': None, 'replies': []}]",7418294751977327878
7418409665316406022,rizcorza7,Corza7,Apa si cakep mulu yocannnnn🥰🥰,1727233113,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/b7139cd1b6b18e582826a2049ca99924~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=f8a68ade&x-expires=1755838800&x-signature=VyMdnL9VGBQ9oI7tD9ysrzbH%2F3E%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,0,[],7418294751977327878
7419196496656777989,helen_rcm,💫Helen✨,Assalamualaikum 🌹🌹🌹,1727416310,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/2829de7e54903b980872b800a38efc13~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=fb33e3c4&x-expires=1755838800&x-signature=ktetW2LyoVOGr42wE6d9H33zSkM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,0,[],7418294751977327878
7419248482387313414,rifky_pridantyo,'𝘼𝙈_leo boy ♌👑🎈,salken ya heheh,1727428415,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/c063a3598d178e7751af9cdc45c43c63~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=ce2ac1d7&x-expires=1755838800&x-signature=1q91yRpdsIXjUS7NjSR0uBBolDI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,0,[],7418294751977327878
